
// Chrome ( 85.0.4183.102) MacBook Pro  800x800
288.35,79.3
321.77,78.12
286.95,86.48
310.28,83.18
332.22,85.25
323.02,85.11
348.38,80.89
324.89,78.66
321.3,78.07
355.62,90.44
321.09,84.74
324.06,84.33
340.41,84.11
325.65,85.88
377.9,90.58
328.95,84.58
314.93,83.62
313.72,85.79
316.96,85.83
317.5,80.54
327.17,44.97
353.08,90.56
322.02,75.93
334.4,85.53
322.71,90.71
334.86,41.34
377.78,90.44
319.92,82.15
318.53,85.3
316.51,85.4
355.84,86.85
329.63,84.48
329.27,84.74
352.86,81.74
369.92,90.98
323.7,77.77
319.03,82.88
368.19,14.34
332.78,71.47
319.08,83.66
334.13,90.47
332.47,90.61
338.77,90.43
332.69,84.31
331.57,77.97
319.49,83.88
338.34,58.57
312.17,86.35
335.01,82.66
338.33,84.9
332.58,77.66
323.5,84.5
317.57,84.17
322.7,33.24
368.34,90.55
343.39,17.61
311.71,85.95
311.86,85.12
314.01,75.89
279.97,86.77
306.95,85.92
348.56,90.36
304.48,52.76
356.98,20.6
316.1,19.93
298.05,86.29
325.41,82.95
339.72,80.28
339,81.81
373.62,82.74
358.06,82.88
390.28,90.52
362.83,85.48
343.69,74.52
339.82,84.88
381.63,90.16
332.43,84.53
352.35,37.76
303.74,82.2
347.38,90.01
259.78,87.55
290.55,83.56
302.23,40.75
273.77,63.7
294.99,82.87
313.56,87.43
292.06,77.87
401.9,63.27
295.92,42.04
421.54,29.31
297.36,86.6
310.3,60.3
288.74,86.63
398.42,90.88
336.99,79.24
416.38,90.32
329.73,82.59
323.7,85.9
333.11,82.35
420.82,11.9
433.41,19.21
307.14,82.62
334.85,71.89
322.39,82.91
356.78,64.91
325.61,64.25
332.97,75.96
// FireFox (80.0.1) MacBook Pro  800x800
 625.61,72.86
578.56,68.28
575.4,71.25 
283.81,71.55
678.88,37.05
511.76,72.61
514.72,68.98
599.41,62.95
689.21,9.39 
619.09,69.35
682.31,38.25
567.25,31.48
694.25,70.71
679.59,23.77
715.72,17.35
662.46,67.01
593.09,49.46
623.65,70.16
603.87,69.02
676.37,54.88
706.84,21.16
665.12,0.26 
720.2,68.99 
540.08,69.82
604.69,53.69
415.98,65.57
486.83,67.78
575.11,51.8 
568.4,64.53 
545.32,68.65
742.28,13.72
528.11,68.97
534.62,66.93
514.58,69.46
475.37,11.26
580.48,67.97
590.21,62.65
464.47,29.62
464.22,71.15
534.51,18.28
562.13,68.95
565.99,68.97
594.09,71.43
590.3,55.07 
630.51,33.13
543.78,69.36
595.19,46.28
536.04,69.31
651.03,12.81
549.57,66.34
584.96,11.27
533.04,35.76
597.38,59.58
629.59,58.36
507.68,48.58
605.75,66.76
545.98,68.21
495.87,67.78
519.24,68.81
Safari (Version 13.1.2 (13609.3.5.1.5)) Macbook Pro
202.36,73.6
184.11,67.4
215.71,38.46
191.99,53.81
223.85,91.01
156.1,84.21
111.67,82.26
135.65,56.63
125.74,80.81
120.84,82.23
167.98,89.44
162.6,21.18
97.01,61.65
111.1,80.85
110.9,64.67
152.58,88.84
100.73,77.79
110.37,79.56
157.82,79.88
110.28,81.27
119.31,78.37
122.86,68.12
123.82,81.71
117.26,81.41
82.18,69.35
106.6,16.19
230.88,61.16
238.46,85.18
230.59,79.36
238.65,25.77
251.67,81.42
235.73,87.31
231.6,70.3
240.47,45.77
234.65,79.69
236.62,80.57
221.59,80.22
231.16,77.82
235.39,80.53
232.2,79.65
224.53,80.25
252.31,15.34
208.85,78.2
236.09,26.14
228.01,80.8
180.78,80.78
229.29,86.99
235.71,80.68
235.4,80.42
240.24,71.37
259.35,15.14
230.49,67.82
245.53,79.8
236.4,70.04
235.47,55.13
225.97,82.07
221.57,80.82
238.52,78.98
233.8,86.75
228.81,79.25
162.49,56.96
152.51,81.35
161.82,68.1
170.04,61.92
156.22,78.98
208.42,84.05
181.93,83.35
160.8,79.05
167.7,78.84
166.18,77.17
141.18,80.84
151.44,80.26
147.09,79.81
142.41,79.99
167.67,82.72
141.26,80.03
235.4,78.23
245.76,68.39
240.39,80.45
239.22,26.05
236.33,88.03
243.02,67.16
246.79,77.19
243.93,72.04
238.26,80.46
236.02,87.22
235.68,86.72
234.98,58.07
238.29,42.39
229.73,78.63
238.37,54.16
238.35,84.78
196.35,80.41
239.98,84.57
235.29,71.23
​

